time_period,time_identifier,geographic_level,country_code,country_name,sex,subject_name,inst_type,provider_name,ukprn,xinstc01,inst_region,current_region,grads_1YAG,unmatched_percent_1YAG,overseas_percent_1YAG,matched_1YAG,activity_not_captured_1YAG,no_sust_dest_1YAG,sust_emp_only_1YAG,sust_emp_with_or_without_fs_1YAG,sust_emp_fs_or_both_1YAG,grads_3YAG,unmatched_percent_3YAG,overseas_percent_3YAG,matched_3YAG,activity_not_captured_3YAG,no_sust_dest_3YAG,sust_emp_only_3YAG,sust_emp_with_or_without_fs_3YAG,sust_emp_fs_or_both_3YAG,grads_5YAG,unmatched_percent_5YAG,overseas_percent_5YAG,matched_5YAG,activity_not_captured_5YAG,no_sust_dest_5YAG,sust_emp_only_5YAG,sust_emp_with_or_without_fs_5YAG,sust_emp_fs_or_both_5YAG,PAYE_earnings_include_1YAG,PAYE_earnings_LQ_1YAG,PAYE_earnings_median_1YAG,PAYE_earnings_UQ_1YAG,PAYE_earnings_include_3YAG,PAYE_earnings_LQ_3YAG,PAYE_earnings_median_3YAG,PAYE_earnings_UQ_3YAG,PAYE_earnings_include_5YAG,PAYE_earnings_LQ_5YAG,PAYE_earnings_median_5YAG,PAYE_earnings_UQ_5YAG,total_earnings_include_1YAG,total_earnings_LQ_1YAG,total_earnings_median_1YAG,total_earnings_UQ_1YAG,total_earnings_include_3YAG,total_earnings_LQ_3YAG,total_earnings_median_3YAG,total_earnings_UQ_3YAG,total_earnings_include_5YAG,total_earnings_LQ_5YAG,total_earnings_median_5YAG,total_earnings_UQ_5YAG,POLAR_num_included_1YAG,POLAR_percent_1YAG,POLAR_num_included_3YAG,POLAR_percent_3YAG,POLAR_num_included_5YAG,POLAR_percent_5YAG,PA_num_included_1YAG,PA_median_1YAG,PA_num_included_3YAG,PA_median_3YAG,PA_num_included_5YAG,PA_median_5YAG,PA_rank_1YAG,PA_rank_3YAG,PA_rank_5YAG,PA_band_1YAG,PA_band_3YAG,PA_band_5YAG,POLAR_include_percent_1YAG,POLAR_include_percent_3YAG,POLAR_include_percent_5YAG,PA_include_percent_1YAG,PA_include_percent_3YAG,PA_include_percent_5YAG
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,NCG,10004599,England,North West,All,25,2,0,25,16.3,24.5,51,55.1,59.2,40,0,0,40,13.8,11.2,71.2,73.8,75,c,c,c,c,c,c,c,c,c,c,c,c,c,25,11700,17200,21200,c,c,c,c,c,c,c,c,30,11300,15700,21200,c,c,c,c,10,16.7,15,20.8,c,c,5,135,10,170,c,c,1,0.9,c,3,3,c,24.5,30,c,16.3,16.2,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,New College Durham,10004576,England,North East,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,New College Nottingham (NCN),10004577,England,East Midlands,All,20,0,0,20,18.8,0,68.8,68.8,81.2,20,0,0,20,6.2,6.2,81.2,87.5,87.5,15,6.7,0,15,0,7.1,92.9,92.9,92.9,c,c,c,c,15,12800,16800,20100,15,15000,19000,26600,c,c,c,c,15,12800,16800,20100,15,14200,19000,21600,5,0,5,33.3,5,33.3,5,110,5,120,5,120,1,1,1,3,3,3,12.5,18.8,21.4,12.5,6.2,7.1
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,New College Stamford,10006303,England,East Midlands,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Plymouth College of Art,10005127,England,South West,All,c,c,c,c,c,c,c,c,c,30,0,0,30,3.6,14.3,82.1,82.1,82.1,55,3.8,0,55,21.6,11.8,56.9,66.7,66.7,c,c,c,c,20,12400,16100,18600,25,11000,16400,20800,c,c,c,c,20,12500,16100,18900,30,11200,17300,20800,c,c,5,25,15,36.4,c,c,5,183.3333333,10,170,c,0.8,0.9,c,3,3,c,14.3,21.6,c,7.1,15.7
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,RNN Group,10005534,England,Yorkshire and the Humber,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Solihull College and University Centre,10005946,England,West Midlands,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Somerset College,10005956,England,South West,All,c,c,c,c,c,c,c,c,c,15,0,0,15,7.7,0,92.3,92.3,92.3,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,15,13100,16400,19200,c,c,c,c,c,c,5,0,c,c,c,c,5,180,c,c,c,0.8,c,c,3,c,c,38.5,c,c,7.7,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,South Essex College of Further and Higher Education,10005981,England,East of England,All,15,0,0,15,15.4,15.4,61.5,69.2,69.2,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,15,54.5,c,c,c,c,5,90,c,c,c,c,1,c,c,3,c,c,84.6,c,c,15.4,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,St Helens College,10006174,England,North West,All,c,c,c,c,c,c,c,c,c,20,0,0,20,5.3,26.3,68.4,68.4,68.4,15,0,0,15,33.3,0,66.7,66.7,66.7,c,c,c,c,15,16400,17500,23700,c,c,c,c,c,c,c,c,15,16400,17500,23700,c,c,c,c,c,c,10,25,5,0,c,c,5,240,5,180,c,0.4,0.8,c,2,3,c,42.1,8.3,c,5.3,8.3
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Stockport College,10006331,England,North West,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,25,0,4,25,8.3,8.3,79.2,83.3,83.3,c,c,c,c,c,c,c,c,20,15800,20100,22200,c,c,c,c,c,c,c,c,20,16600,19700,21900,c,c,c,c,15,0,c,c,c,c,5,280,c,c,0.1,c,c,1,c,c,54.2,c,c,20.8
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Sussex Downs College,10006432,England,South East,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,The Oldham College,10006770,England,North West,All,c,c,c,c,c,c,c,c,c,15,0,0,15,8.3,33.3,50,58.3,58.3,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,10,16.7,c,c,c,c,5,230,c,c,c,0.6,c,c,2,c,c,50,c,c,16.7,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,The Sheffield College,10005788,England,Yorkshire and the Humber,All,20,0,0,20,11.1,11.1,77.8,77.8,77.8,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,15,8800,12000,16400,c,c,c,c,c,c,c,c,15,10400,13000,16400,c,c,c,c,c,c,c,c,10,0,c,c,c,c,5,100,c,c,c,c,1,c,c,3,c,c,50,c,c,16.7,c,c
201718,Tax year,National,K03000001,Great Britain,Male,Creative arts and design,Further Education College,Wakefield College,10007289,England,Yorkshire and the Humber,All,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
